time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,q0,q1,q2,q3,wx_rads,wy_rads,wz_rads,speed_ms,dynamic_pressure_Pa,angle_of_attack_deg,mach_number
24.0,8749.033845487123,0.22010561901146813,7558.542128911208,262.7169556343729,0.027139047820588257,135.56996101489008,-0.42620019309447665,0.8238451261798911,0.20426465879277417,0.31446769190511215,497.72825809676334,-0.03972414462061135,0.389800598776267,295.633918628935,24160.152583664047,17.0334382167603,0.9538823685746017
24.5,8880.015473627216,0.23392861204264623,7624.984529892367,261.2323342982502,0.02815663513259355,130.21362911281395,0.92409356094737,0.08347297313427782,-0.36725024280751123,0.07207344990076708,492.43534997548505,-0.03302285581444443,0.40435727675282174,291.88683163588985,23371.00886530093,17.753371153931138,0.9426441446142867
25.0,9010.28624672617,0.248265776490576,7688.768093049888,259.86977786728096,0.029195523442692124,124.93217720174461,-0.9275758214275801,0.02671536304137629,0.37285439868215486,-0.029250459615373047,487.3020549863355,-0.0350512633935599,0.41373804521658264,288.3406859975481,22638.397472391895,18.537693734307883,0.9320020415269515
25.5,9139.903421862145,0.26312762885172264,7749.927601111387,258.61628090298507,0.03025537186318739,119.7161210596528,0.14712008911295837,-0.9160124887508448,-0.09961953828423659,-0.3610291825485055,482.3185094107345,-0.04035888943361543,0.41403557660611634,284.9812823766653,21957.296166076307,19.431052323829242,0.9219131676301346
26.0,9268.919125611317,0.27852462660921884,7808.493896304796,257.4624039640332,0.03133608974403966,114.55818549741024,0.5909696494387724,-0.7154765622084933,-0.269149592355745,-0.2596127558202662,477.4755951636658,-0.043609686349117056,0.42809560841021943,281.7986307655674,21323.691029095862,20.208618423261473,0.9123479356354314
26.5,9397.381012439933,0.2944671813935859,7864.494394320614,256.39967454179697,0.03243758433948972,109.45192005149951,0.025674807289336493,-0.9275430609807265,-0.05423858281159947,-0.37021316262215975,472.7648546093192,-0.04088340382207782,0.432597541674173,278.78399695874964,20734.045307742024,21.106640218656782,0.9032805694058504
27.0,9525.331864622714,0.31096554687883693,7917.953116460725,255.41233487048706,0.03355869360962083,104.38823774348133,-0.9047810679186233,0.2077421011076601,0.37109499200878165,0.03873921856462642,468.17845182966965,-0.04080015780214949,0.45264635702073536,275.92094177385184,20183.94692690039,21.860484794630437,0.8946600769912497
27.5,9652.799662126248,0.32802841639642377,7968.886869727603,254.4647934794378,0.0346952920250964,99.35079562877102,0.9276830722991077,-0.03687472206357839,-0.3714963224307743,0.03217830046448839,463.70946968889393,-0.03959206929166935,0.46298744372420353,273.17194752822996,19666.25834592237,22.733870600760252,0.8863667342320242
28.0,9779.80241651327,0.34566333724271353,8017.3078021233205,253.5518068680651,0.03584688077431761,94.33669804167704,-0.5352057947048809,0.7584697847300539,0.25246440623423283,0.27485152458826984,459.3516686975315,-0.04764895576331863,0.4679116289136926,270.5326831428432,19179.00509421849,23.67910048544328,0.8783881009955381
28.5,9906.356882384747,0.36387777810807403,8063.227212156068,252.6713045638718,0.03701335541726709,89.3444707849659,-0.9114239648915039,-0.17753439840919535,0.3527781590061585,-0.11975592069028414,455.0991409598874,-0.03894437282722385,0.4833408639793722,268.00228353475455,18720.818863468074,24.537860378574244,0.8707228894395783
29.0,10032.478809284226,0.38267915758047466,8106.655691709577,251.82133515127404,0.038194619806733526,84.37276006166124,-0.8895283309926395,-0.26656163377026787,0.3384427983738005,-0.1554007691229261,450.9462793804088,-0.03898000611702276,0.4936525211551361,265.5800236023446,18290.43610310904,25.465631287052883,0.8633701914203835
29.5,10158.1829988179,0.4020748480198242,8147.603184073601,251.00005679279508,0.0393905850169064,79.42032394282724,-0.7472767992920224,0.5513349583588821,0.3276850255413882,0.1767512263804617,446.88775585342046,-0.049860746614732304,0.5043004530465918,263.2652994923337,17886.689572374842,26.401295574994982,0.8563294202051482
30.0,10283.483357258661,0.42207217891731963,8186.0790379197015,250.20572862663343,0.04060116831924635,74.48602466525632,0.7791396491394498,0.5053196396382338,-0.27898324241896244,0.24652747853955082,442.91850135849944,-0.03933024143828109,0.5137139765339958,261.05761079974775,17508.500752925298,27.38252622978087,0.8496002547379478
